"age","government_work","education","marital_status","occupation","relationship","ethnicity","gender","capital_gain","capital_loss","hours_per_week","income","country"
19,"Private","HS to grad","Married AF spouse","Adm clerical","Wife","White","Female",0,0,25,"<=50K","United States"
48,"Self emp not inc","Assoc to acdm","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,"<=50K","United States"
31,"Private","9th","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,43,"<=50K","United States"
53,"Self emp not inc","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,"<=50K","United States"
24,"Private","Bachelors","Married civ spouse","Tech support","Husband","White","Male",0,0,50,"<=50K","United States"
49,"Private","HS to grad","Separated","Adm clerical","Unmarried","White","Female",0,0,40,"<=50K","United States"
25,"Private","HS to grad","Never married","Handlers cleaners","Not in family","White","Male",0,0,35,"<=50K","United States"
57,"Federal gov","Bachelors","Married civ spouse","Prof specialty","Husband","Black","Male",0,0,40,">50K","United States"
53,"Private","HS to grad","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,38,"<=50K","United States"
44,"Private","Masters","Divorced","Exec managerial","Unmarried","White","Female",0,0,40,"<=50K","United States"
41,"State gov","Assoc to voc","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
29,"Private","Assoc to voc","Never married","Prof specialty","Not in family","White","Male",0,0,43,"<=50K","United States"
25,"Private","Some to college","Married civ spouse","Exec managerial","Wife","Other","Female",0,0,40,"<=50K","United States"
50,"Federal gov","Bachelors","Divorced","Exec managerial","Not in family","White","Male",0,0,55,">50K","United States"
47,"Self emp inc","HS to grad","Divorced","Exec managerial","Not in family","White","Male",0,0,60,"<=50K","United States"
43,"Private","Some to college","Married civ spouse","Tech support","Husband","White","Male",0,0,40,">50K","United States"
41,"Private","HS to grad","Married civ spouse","Adm clerical","Husband","White","Male",0,0,48,"<=50K","United States"
30,"Private","HS to grad","Married civ spouse","Machine op inspct","Husband","White","Male",5013,0,40,"<=50K","United States"
30,"Private","Bachelors","Married civ spouse","Sales","Husband","White","Male",2407,0,40,"<=50K","United States"
48,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,"<=50K","United States"
42,"Private","Doctorate","Married civ spouse","Prof specialty","Husband","White","Male",0,0,45,">50K","United States"
29,"Private","Some to college","Divorced","Tech support","Not in family","White","Male",0,0,58,"<=50K","United States"
36,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
28,"Private","Some to college","Divorced","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
53,"Private","HS to grad","Married civ spouse","Adm clerical","Wife","White","Female",0,0,40,">50K","United States"
49,"Self emp inc","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
25,NA,"Some to college","Never married",NA,"Own child","White","Male",0,0,40,"<=50K","United States"
19,"Private","Some to college","Never married","Prof specialty","Own child","White","Male",0,0,32,"<=50K","United States"
31,"Private","Bachelors","Separated","Sales","Own child","Black","Female",0,0,40,"<=50K","United States"
29,"Self emp not inc","Bachelors","Married civ spouse","Sales","Husband","White","Male",0,0,70,">50K","United States"
23,"Private","Some to college","Never married","Machine op inspct","Not in family","White","Male",0,0,40,"<=50K","United States"
79,"Private","Some to college","Married civ spouse","Prof specialty","Other relative","White","Male",0,0,20,"<=50K","United States"
40,"Private","Assoc to acdm","Married civ spouse","Adm clerical","Husband","White","Male",0,0,40,"<=50K","United States"
67,NA,"10th","Married civ spouse",NA,"Husband","White","Male",0,0,2,"<=50K","United States"
18,"Private","11th","Never married","Other service","Own child","White","Female",0,0,22,"<=50K","United States"
31,"Local gov","7th to 8th","Married civ spouse","Farming fishing","Husband","White","Male",0,0,40,"<=50K","United States"
18,"Private","HS to grad","Never married","Sales","Not in family","White","Male",0,0,30,"<=50K","United States"
46,"Private","HS to grad","Married civ spouse","Other service","Wife","White","Female",0,0,40,"<=50K","United States"
59,"Private","HS to grad","Married civ spouse","Sales","Husband","White","Male",0,0,48,"<=50K","United States"
44,"Private","HS to grad","Divorced","Craft repair","Not in family","White","Female",14344,0,40,">50K","United States"
53,"Private","HS to grad","Divorced","Sales","Own child","White","Female",0,0,35,"<=50K","United States"
49,"Local gov","HS to grad","Married civ spouse","Protective serv","Husband","White","Male",0,0,40,">50K","United States"
33,"Private","Masters","Married civ spouse","Prof specialty","Husband","White","Male",0,0,50,"<=50K","United States"
30,"Private","9th","Never married","Sales","Not in family","White","Male",0,0,40,"<=50K","United States"
43,"Federal gov","Doctorate","Never married","Prof specialty","Not in family","White","Female",0,0,50,">50K","United States"
57,"Private","Assoc to voc","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,"<=50K","United States"
37,"Private","Some to college","Divorced","Craft repair","Unmarried","White","Female",0,0,40,"<=50K","United States"
28,"Private","Some to college","Divorced","Machine op inspct","Unmarried","Black","Female",0,0,25,"<=50K","United States"
34,"Local gov","Bachelors","Married civ spouse","Protective serv","Husband","White","Male",0,0,40,">50K","United States"
29,"Local gov","Some to college","Never married","Handlers cleaners","Not in family","White","Male",0,0,50,"<=50K","United States"
48,"Self emp not inc","Doctorate","Married civ spouse","Prof specialty","Husband","White","Male",0,1902,60,">50K","United States"
37,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,48,">50K","United States"
32,"Federal gov","HS to grad","Never married","Other service","Own child","Black","Male",0,0,40,"<=50K","United States"
76,"Private","Masters","Married civ spouse","Exec managerial","Husband","White","Male",0,0,40,">50K","United States"
44,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",15024,0,60,">50K","United States"
47,"Self emp not inc","Masters","Never married","Prof specialty","Not in family","White","Female",0,0,50,"<=50K","United States"
20,"Private","Some to college","Never married","Tech support","Own child","White","Female",0,0,40,"<=50K","United States"
29,"Private","HS to grad","Never married","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
32,"Self emp inc","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",7688,0,40,">50K","United States"
17,NA,"10th","Never married",NA,"Own child","White","Female",34095,0,32,"<=50K","United States"
30,"Private","11th","Never married","Handlers cleaners","Own child","White","Male",0,0,40,"<=50K","United States"
31,"Local gov","HS to grad","Never married","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
42,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,40,"<=50K","United States"
24,"Private","Bachelors","Never married","Sales","Other relative","White","Male",0,0,40,"<=50K","United States"
38,"Private","Prof to school","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,">50K","United States"
28,"Private","Some to college","Married civ spouse","Sales","Wife","White","Female",4064,0,25,"<=50K","United States"
36,"Private","HS to grad","Never married","Machine op inspct","Own child","White","Female",0,0,40,"<=50K","United States"
53,"Private","9th","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,50,"<=50K","United States"
56,"Self emp inc","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,50,"<=50K","United States"
49,"Local gov","Assoc to voc","Married civ spouse","Craft repair","Husband","Black","Male",0,0,40,">50K","United States"
55,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,56,"<=50K","United States"
22,"Private","HS to grad","Never married","Craft repair","Not in family","White","Male",0,0,41,"<=50K","United States"
21,"Private","Some to college","Never married","Other service","Own child","White","Female",0,0,40,"<=50K","United States"
40,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,60,"<=50K","United States"
29,"State gov","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,50,">50K","United States"
19,"Private","Some to college","Never married","Other service","Own child","Black","Male",0,0,35,"<=50K","United States"
47,"Private","Bachelors","Married civ spouse","Exec managerial","Wife","White","Female",0,0,40,">50K","United States"
20,"Private","Some to college","Never married","Adm clerical","Own child","White","Female",0,1719,28,"<=50K","United States"
31,"Private","Assoc to acdm","Married civ spouse","Adm clerical","Husband","White","Male",0,0,40,">50K","United States"
35,NA,"HS to grad","Married civ spouse",NA,"Husband","White","Male",0,0,40,"<=50K","United States"
39,"Private","Some to college","Divorced","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
28,"Private","Assoc to acdm","Never married","Sales","Not in family","White","Female",0,0,60,"<=50K","United States"
24,"Private","HS to grad","Never married","Other service","Not in family","White","Female",0,1762,40,"<=50K","United States"
38,"Self emp not inc","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",4386,0,35,"<=50K","United States"
37,"Private","Bachelors","Married civ spouse","Sales","Husband","White","Male",0,0,50,"<=50K","United States"
46,"Private","Assoc to acdm","Divorced","Tech support","Not in family","Black","Female",0,0,36,"<=50K","United States"
43,"Self emp not inc","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,60,"<=50K","United States"
27,"Private","Assoc to voc","Married civ spouse","Adm clerical","Wife","White","Female",0,0,35,"<=50K","United States"
20,"Private","Some to college","Never married","Sales","Own child","White","Male",0,0,20,"<=50K","United States"
49,"Private","Some to college","Married civ spouse","Craft repair","Husband","Asian Pac Islander","Male",0,0,40,">50K","United States"
61,"Self emp inc","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
27,"Private","Some to college","Never married","Sales","Own child","White","Female",0,0,40,"<=50K","United States"
45,"Private","Assoc to voc","Never married","Prof specialty","Not in family","White","Female",0,1564,40,">50K","United States"
70,"Private","Some to college","Never married","Tech support","Other relative","White","Male",0,0,40,"<=50K","United States"
31,"Private","HS to grad","Never married","Transport moving","Unmarried","Black","Female",0,0,30,"<=50K","United States"
22,"Private","Some to college","Married civ spouse","Other service","Husband","White","Male",0,0,24,"<=50K","United States"
36,"Private","HS to grad","Widowed","Other service","Unmarried","White","Female",0,0,24,"<=50K","United States"
64,"Private","11th","Married civ spouse","Craft repair","Husband","White","Male",0,2179,40,"<=50K","United States"
43,NA,"Some to college","Divorced",NA,"Not in family","White","Female",0,0,40,"<=50K","United States"
34,"Private","HS to grad","Never married","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
21,"Private","HS to grad","Never married","Craft repair","Own child","White","Male",0,0,35,"<=50K","United States"
52,NA,"HS to grad","Divorced",NA,"Not in family","White","Male",0,0,45,">50K","United States"
48,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,46,"<=50K","United States"
23,"Private","Bachelors","Never married","Handlers cleaners","Not in family","White","Male",0,0,40,"<=50K","United States"
71,"Self emp not inc","Some to college","Separated","Sales","Unmarried","Black","Male",0,1816,2,"<=50K","United States"
29,"Private","HS to grad","Divorced","Craft repair","Not in family","White","Male",0,0,60,"<=50K","United States"
42,"Private","Bachelors","Separated","Other service","Other relative","Black","Male",0,0,50,"<=50K","United States"
68,NA,"1st to 4th","Divorced",NA,"Not in family","White","Female",0,0,20,"<=50K","United States"
25,"Private","HS to grad","Never married","Other service","Unmarried","White","Female",0,0,40,"<=50K","United States"
44,"Self emp inc","Masters","Divorced","Exec managerial","Unmarried","Asian Pac Islander","Female",0,0,40,"<=50K","United States"
45,"Self emp not inc","Masters","Married civ spouse","Sales","Husband","White","Male",0,0,40,">50K","United States"
39,"Federal gov","Assoc to acdm","Never married","Exec managerial","Not in family","White","Male",0,0,42,"<=50K","United States"
46,"State gov","Masters","Widowed","Protective serv","Unmarried","White","Male",0,0,40,"<=50K","United States"
18,"Private","11th","Never married","Handlers cleaners","Own child","White","Male",0,0,16,"<=50K","United States"
66,"Local gov","Assoc to voc","Widowed","Prof specialty","Not in family","White","Female",0,0,20,"<=50K","United States"
27,"Private","HS to grad","Never married","Other service","Not in family","White","Male",0,1980,40,"<=50K","United States"
28,"State gov","HS to grad","Married civ spouse","Protective serv","Husband","White","Male",0,0,40,"<=50K","United States"
51,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",0,1977,40,">50K","United States"
27,"Private","Bachelors","Never married","Craft repair","Not in family","White","Male",0,0,50,"<=50K","United States"
28,"State gov","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,">50K","United States"
27,"Private","HS to grad","Married spouse absent","Sales","Unmarried","White","Female",0,0,25,"<=50K","United States"
21,"Private","HS to grad","Never married","Craft repair","Own child","Black","Male",0,0,40,"<=50K","United States"
34,"Private","HS to grad","Never married","Handlers cleaners","Not in family","Black","Male",0,0,40,"<=50K","United States"
18,"Private","HS to grad","Never married","Other service","Own child","White","Male",0,0,12,"<=50K","United States"
33,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,65,"<=50K","United States"
44,"Local gov","Some to college","Married civ spouse","Exec managerial","Husband","Black","Male",0,0,38,">50K","United States"
43,"Private","Some to college","Divorced","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
30,"Private","Some to college","Never married","Craft repair","Not in family","Black","Male",0,0,45,"<=50K","United States"
37,"Federal gov","Some to college","Married civ spouse","Adm clerical","Husband","White","Male",0,0,42,">50K","United States"
34,"Private","HS to grad","Married civ spouse","Adm clerical","Husband","Black","Male",0,0,40,"<=50K","United States"
41,"Self emp not inc","Bachelors","Divorced","Exec managerial","Not in family","White","Female",0,0,40,"<=50K","United States"
53,NA,"Bachelors","Divorced",NA,"Not in family","White","Female",0,0,50,"<=50K","United States"
31,"Private","Masters","Married civ spouse","Prof specialty","Wife","White","Female",0,0,50,"<=50K","United States"
58,"State gov","Doctorate","Married civ spouse","Prof specialty","Husband","White","Male",0,0,1,">50K","United States"
38,"Private","Some to college","Divorced","Machine op inspct","Not in family","Black","Female",0,0,28,"<=50K","United States"
24,"Private","Some to college","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,"<=50K","United States"
41,"Local gov","Bachelors","Married civ spouse","Craft repair","Husband","Black","Male",0,0,40,"<=50K","United States"
47,"Private","Some to college","Married civ spouse","Tech support","Husband","White","Male",0,0,45,"<=50K","United States"
41,"Federal gov","Bachelors","Married civ spouse","Tech support","Husband","White","Male",0,0,24,"<=50K","United States"
36,"Private","Some to college","Divorced","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
40,"Federal gov","Masters","Never married","Exec managerial","Not in family","White","Female",14084,0,55,">50K","United States"
35,"Private","Masters","Married civ spouse","Prof specialty","Other relative","White","Male",7298,0,40,">50K","United States"
24,"Self emp not inc","HS to grad","Never married","Sales","Not in family","White","Male",0,0,40,"<=50K","United States"
26,"Private","Masters","Never married","Prof specialty","Not in family","White","Female",0,1876,40,"<=50K","United States"
51,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
42,"Local gov","Some to college","Never married","Prof specialty","Not in family","White","Female",0,1340,40,"<=50K","United States"
37,"State gov","HS to grad","Divorced","Adm clerical","Unmarried","White","Female",0,0,35,"<=50K","United States"
18,"Private","11th","Never married","Sales","Own child","White","Female",0,0,40,"<=50K","United States"
36,"Private","Bachelors","Married civ spouse","Other service","Husband","Black","Male",7298,0,36,">50K","United States"
35,"Private","HS to grad","Divorced","Craft repair","Not in family","White","Male",0,0,60,"<=50K","United States"
58,"Self emp inc","HS to grad","Married civ spouse","Sales","Wife","White","Female",15024,0,35,">50K","United States"
17,"Private","11th","Never married","Sales","Own child","White","Female",0,0,12,"<=50K","United States"
44,"Local gov","HS to grad","Married civ spouse","Transport moving","Husband","Black","Male",0,0,40,"<=50K","United States"
37,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
35,"Private","Some to college","Never married","Sales","Not in family","Amer Indian Eskimo","Female",0,0,40,"<=50K","United States"
60,"Private","HS to grad","Married civ spouse","Craft repair","Husband","Asian Pac Islander","Male",0,0,40,"<=50K","United States"
54,"Self emp inc","7th to 8th","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,">50K","United States"
37,"Private","Bachelors","Never married","Exec managerial","Not in family","Black","Male",0,0,60,">50K","United States"
50,"Private","Assoc to acdm","Divorced","Sales","Not in family","White","Female",0,0,40,"<=50K","United States"
45,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,55,"<=50K","United States"
25,"Private","10th","Never married","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
31,"Private","Some to college","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,40,"<=50K","United States"
64,NA,"1st to 4th","Divorced",NA,"Not in family","White","Male",0,0,40,"<=50K","United States"
90,"Private","HS to grad","Never married","Other service","Not in family","Black","Male",0,2206,40,"<=50K","United States"
54,"Private","HS to grad","Married civ spouse","Adm clerical","Husband","Black","Male",0,0,20,"<=50K","United States"
53,"Local gov","Preschool","Never married","Machine op inspct","Not in family","White","Female",0,0,35,"<=50K","United States"
18,"Private","HS to grad","Never married","Sales","Own child","White","Female",0,0,40,"<=50K","United States"
60,NA,"10th","Divorced",NA,"Not in family","Amer Indian Eskimo","Female",0,0,10,"<=50K","United States"
66,"Self emp not inc","HS to grad","Married civ spouse","Farming fishing","Husband","White","Male",1409,0,50,"<=50K","United States"
65,"Private","HS to grad","Divorced","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
35,"Private","11th","Separated","Transport moving","Not in family","Black","Male",3674,0,40,"<=50K","United States"
41,"Private","HS to grad","Divorced","Sales","Unmarried","Black","Female",0,0,38,"<=50K","United States"
25,"Private","Some to college","Never married","Adm clerical","Not in family","White","Male",0,0,42,"<=50K","United States"
33,"Private","Some to college","Divorced","Craft repair","Other relative","Other","Female",0,0,40,"<=50K","United States"
28,"Private","Prof to school","Never married","Prof specialty","Not in family","White","Male",0,0,55,">50K","United States"
59,"State gov","HS to grad","Married civ spouse","Other service","Husband","White","Male",0,0,40,"<=50K","United States"
40,"State gov","Some to college","Never married","Adm clerical","Not in family","White","Female",0,0,38,"<=50K","United States"
38,"Local gov","Masters","Married civ spouse","Exec managerial","Husband","White","Male",0,0,70,">50K","United States"
23,"Private","HS to grad","Never married","Transport moving","Own child","White","Male",0,0,40,"<=50K","United States"
40,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,">50K","United States"
41,"Self emp not inc","HS to grad","Married civ spouse","Other service","Wife","White","Female",0,0,20,"<=50K","United States"
24,"State gov","Assoc to acdm","Married civ spouse","Protective serv","Husband","White","Male",0,0,50,"<=50K","United States"
20,NA,"Some to college","Never married",NA,"Own child","White","Male",0,0,20,"<=50K","United States"
38,"Private","Some to college","Divorced","Craft repair","Not in family","White","Male",0,1741,40,"<=50K","United States"
58,"Private","HS to grad","Married civ spouse","Adm clerical","Husband","White","Male",0,0,45,">50K","United States"
32,"Private","HS to grad","Never married","Other service","Not in family","White","Female",0,0,34,"<=50K","United States"
40,"Private","Assoc to acdm","Married civ spouse","Tech support","Husband","White","Male",0,1977,60,">50K","United States"
41,"Private","Prof to school","Married civ spouse","Prof specialty","Wife","White","Female",0,0,40,">50K","United States"
42,"Private","Bachelors","Married civ spouse","Adm clerical","Wife","Black","Female",0,0,40,"<=50K","United States"
59,"Local gov","10th","Widowed","Other service","Unmarried","Black","Female",0,0,30,"<=50K","United States"
19,"Local gov","Some to college","Never married","Adm clerical","Own child","White","Male",0,0,40,"<=50K","United States"
58,"Private","Some to college","Never married","Transport moving","Not in family","White","Male",0,0,20,"<=50K","United States"
20,"Private","HS to grad","Never married","Other service","Own child","White","Female",0,0,40,"<=50K","United States"
32,"Private","HS to grad","Separated","Other service","Not in family","White","Female",0,0,30,"<=50K","United States"
45,"Private","Assoc to voc","Widowed","Exec managerial","Not in family","White","Female",0,0,45,"<=50K","United States"
50,"Private","7th to 8th","Divorced","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
36,"Private","Bachelors","Divorced","Prof specialty","Own child","White","Female",0,0,40,"<=50K","United States"
45,"Private","HS to grad","Married civ spouse","Sales","Husband","White","Male",0,0,60,"<=50K","United States"
17,"Private","11th","Never married","Other service","Own child","White","Male",0,0,12,"<=50K","United States"
59,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",4064,0,40,"<=50K","United States"
26,"Private","11th","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
64,"Private","HS to grad","Married civ spouse","Exec managerial","Husband","White","Male",0,0,40,">50K","United States"
33,"Private","Bachelors","Never married","Prof specialty","Not in family","White","Female",0,0,45,"<=50K","United States"
33,"Private","HS to grad","Married civ spouse","Craft repair","Wife","White","Female",0,0,40,">50K","United States"
61,"Private","HS to grad","Married civ spouse","Exec managerial","Husband","White","Male",0,0,40,">50K","United States"
17,"Private","9th","Never married","Other service","Own child","White","Male",1055,0,24,"<=50K","United States"
50,"Self emp not inc","Masters","Married civ spouse","Farming fishing","Husband","White","Male",2407,0,98,"<=50K","United States"
27,"Local gov","Masters","Never married","Prof specialty","Own child","White","Male",0,0,35,"<=50K","United States"
30,"Private","HS to grad","Divorced","Prof specialty","Own child","White","Female",0,0,40,"<=50K","United States"
43,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","Black","Male",0,0,40,"<=50K","United States"
44,"Private","Some to college","Married civ spouse","Craft repair","Husband","White","Male",7298,0,40,">50K","United States"
35,"Private","Some to college","Never married","Exec managerial","Not in family","White","Female",0,0,40,"<=50K","United States"
25,"Private","Some to college","Never married","Tech support","Own child","White","Female",0,0,40,"<=50K","United States"
24,"Private","Some to college","Married civ spouse","Machine op inspct","Wife","White","Female",7298,0,48,">50K","United States"
42,"Local gov","Some to college","Married civ spouse","Craft repair","Husband","White","Male",5178,0,40,">50K","United States"
34,"Private","Assoc to acdm","Divorced","Sales","Unmarried","Black","Female",0,0,45,"<=50K","United States"
60,"Private","Bachelors","Divorced","Prof specialty","Not in family","White","Female",0,0,42,"<=50K","United States"
21,"Private","HS to grad","Never married","Handlers cleaners","Own child","White","Male",0,0,40,"<=50K","United States"
57,"Federal gov","Masters","Married civ spouse","Sales","Husband","White","Male",15024,0,40,">50K","United States"
41,"Private","Prof to school","Married civ spouse","Prof specialty","Husband","White","Male",0,0,60,">50K","United States"
50,"Private","Some to college","Divorced","Other service","Not in family","White","Male",0,0,45,"<=50K","United States"
25,"Private","Bachelors","Never married","Exec managerial","Not in family","White","Female",0,0,40,"<=50K","United States"
36,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,45,"<=50K","United States"
31,"Private","HS to grad","Divorced","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
29,"Local gov","Bachelors","Never married","Protective serv","Not in family","White","Male",0,0,56,"<=50K","United States"
21,"Private","Some to college","Never married","Sales","Own child","White","Male",0,0,45,"<=50K","United States"
27,"Private","Bachelors","Never married","Tech support","Unmarried","Black","Female",0,0,40,"<=50K","United States"
65,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,16,"<=50K","United States"
37,"Self emp inc","Bachelors","Divorced","Sales","Not in family","White","Female",0,0,60,"<=50K","United States"
24,"Private","HS to grad","Never married","Craft repair","Own child","White","Male",0,0,40,"<=50K","United States"
38,"Private","HS to grad","Divorced","Sales","Not in family","White","Male",0,0,80,"<=50K","United States"
48,"Private","Bachelors","Married civ spouse","Adm clerical","Husband","White","Male",7688,0,40,">50K","United States"
21,"Private","Some to college","Never married","Other service","Not in family","Asian Pac Islander","Female",0,0,25,"<=50K","United States"
31,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,45,">50K","United States"
55,"Private","HS to grad","Married civ spouse","Sales","Husband","White","Male",4386,0,40,">50K","United States"
43,"Private","HS to grad","Divorced","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
26,"Private","Assoc to acdm","Never married","Tech support","Not in family","White","Male",0,0,45,"<=50K","United States"
46,"Private","Assoc to acdm","Never married","Prof specialty","Not in family","White","Female",0,0,33,"<=50K","United States"
35,"Private","Assoc to acdm","Married civ spouse","Adm clerical","Husband","White","Male",0,0,40,">50K","United States"
41,"Self emp inc","Some to college","Married civ spouse","Farming fishing","Husband","White","Male",0,0,54,">50K","United States"
26,"Private","Bachelors","Never married","Sales","Not in family","White","Male",0,0,40,"<=50K","United States"
19,NA,"Some to college","Never married",NA,"Own child","Black","Female",0,0,25,"<=50K","United States"
36,"Self emp not inc","Bachelors","Divorced","Prof specialty","Not in family","Black","Female",0,0,40,">50K","United States"
22,"Private","Some to college","Never married","Sales","Own child","White","Male",0,0,15,"<=50K","United States"
24,"Private","Some to college","Never married","Machine op inspct","Not in family","White","Male",0,0,40,"<=50K","United States"
77,"Self emp not inc","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,40,"<=50K","United States"
29,"Private","Some to college","Never married","Tech support","Not in family","White","Female",0,0,40,"<=50K","United States"
62,"Private","HS to grad","Widowed","Other service","Not in family","White","Female",0,0,24,"<=50K","United States"
